year,month,Mkt-RF,SMB,HML,RMW,CMA,RF,end,%_change,excess_ret
2015,5,1.36,0.81,-1.1,-1.78,-0.7,0.0,2015-05-01,2.408295665061138,2.408295665061138
2015,6,-1.53,2.88,-0.76,0.43,-1.54,0.0,2015-06-01,5.680173866865915,5.680173866865915
2015,7,1.54,-4.59,-4.07,0.34,-2.48,0.0,2015-07-01,-4.227997405956779,-4.227997405956779
2015,8,-6.04,0.27,2.8,0.64,1.26,0.0,2015-08-03,-15.931111735518053,-15.931111735518053
2015,9,-3.07,-2.79,0.57,1.82,-0.57,0.0,2015-09-01,-6.530089628681184,-6.530089628681184
2015,10,7.75,-2.06,-0.46,0.85,0.53,0.0,2015-10-01,15.04566210045663,15.04566210045663
2015,11,0.56,3.3,-0.38,-2.73,-1.02,0.0,2015-11-02,3.1486608210442477,3.1486608210442477
2016,1,-5.77,-3.42,2.06,2.84,3.09,0.01,2016-01-04,-0.1210205679297819,-0.1310205679297819
2016,2,-0.07,0.93,-0.57,3.3,1.96,0.02,2016-02-01,-14.21528759244042,-14.23528759244042
2016,3,6.96,1.01,1.1,0.74,-0.02,0.02,2016-03-01,21.45594930344584,21.43594930344584
2016,4,0.91,1.15,3.21,-2.92,1.9,0.01,2016-04-01,1.468848522521741,1.458848522521741
2016,5,1.78,-0.64,-1.66,-1.1,-2.48,0.01,2016-05-02,2.4199803895401875,2.4099803895401877
2016,6,-0.05,0.44,-1.45,1.48,1.94,0.02,2016-06-01,-7.660060975609749,-7.680060975609749
2016,7,3.95,2.48,-1.31,1.24,-1.19,0.02,2016-07-01,5.5406479570780025,5.520647957078003
2016,8,0.49,1.69,3.16,-1.89,-0.34,0.02,2016-08-01,-6.441473151668228,-6.461473151668228
2016,9,0.25,1.86,-1.22,-2.23,0.02,0.02,2016-09-01,-1.2594458438287184,-1.2794458438287184
2016,10,-2.02,-4.04,4.12,0.95,0.24,0.02,2016-10-03,-4.708762755102038,-4.7287627551020375
2016,11,4.86,7.04,8.2,-0.17,3.71,0.01,2016-11-01,19.50673181644537,19.49673181644537
2016,12,1.81,0.41,3.56,1.24,-0.26,0.03,2016-12-01,-5.253283302063784,-5.283283302063785
2017,1,1.94,-1.43,-2.73,-0.5,-0.98,0.04,2017-01-03,6.425742574257434,6.385742574257434
2017,2,3.57,-2.23,-1.66,0.44,-1.83,0.04,2017-02-01,-3.4005979073243653,-3.4405979073243653
2017,3,0.17,0.74,-3.37,0.63,-0.94,0.03,2017-03-01,0.19342359767890582,0.16342359767890582
2017,4,1.09,0.47,-2.15,1.91,-1.61,0.05,2017-04-03,-0.6756756756756647,-0.7256756756756647
2017,5,1.06,-3.04,-3.76,0.95,-1.79,0.06,2017-05-01,-9.960941406250006,-10.020941406250007
2017,6,0.78,2.57,1.48,-2.26,0.0,0.06,2017-06-01,8.893714051788036,8.833714051788036
2017,7,1.87,-1.62,-0.22,-0.59,-0.16,0.07,2017-07-03,2.0916334661354523,2.0216334661354525
2017,8,0.16,-1.82,-2.07,0.12,-2.36,0.09,2017-08-01,9.019603921568626,8.929603921568626
2017,9,2.51,4.74,3.09,-1.5,1.63,0.09,2017-09-01,-0.17985252445512565,-0.26985252445512564
2017,10,2.25,-1.95,0.23,0.84,-3.22,0.09,2017-10-02,3.5135135135135185,3.4235135135135186
2017,11,3.12,-0.35,-0.05,3.16,-0.09,0.08,2017-11-01,-5.244755244755245,-5.324755244755245
2017,12,1.06,-1.07,0.03,0.76,1.66,0.09,2017-12-01,3.1365350553505493,3.0465350553505495
2018,1,5.58,-3.25,-1.36,-0.72,-1.05,0.11,2018-01-02,4.382819163405395,4.272819163405394
2018,2,-3.65,0.33,-1.03,0.56,-2.4,0.11,2018-02-01,-13.425126107577496,-13.535126107577495
2018,3,-2.35,3.59,-0.23,-0.49,0.02,0.12,2018-03-01,-1.9880715705765408,-2.108071570576541
2018,4,0.29,0.9,0.48,-2.41,1.28,0.14,2018-04-02,3.600405679513182,3.460405679513182
2018,5,2.65,4.78,-3.13,-2.04,-1.43,0.14,2018-05-01,-0.7873976377952687,-0.9273976377952687
2018,6,0.48,0.8,-2.33,0.82,0.23,0.14,2018-06-01,1.7857102465987928,1.6457102465987927
2018,7,3.19,-1.94,0.45,1.52,0.37,0.16,2018-07-02,2.4853801169590617,2.3253801169590615
2018,8,3.44,0.63,-3.98,-0.3,-2.66,0.16,2018-08-01,-3.6328833652007586,-3.7928833652007587
